label	time_s	used_mb	step_name
A	0.000966	0.000	monitor_started
B	0.001135	0.000	before_mock_asset_build
C	0.642108	0.000	after_mock_asset_build
D	0.643004	0.000	before_environ_set
E	0.643183	0.000	after_environ_set
F	0.643348	0.000	before_build_model
G	0.960728	0.109	after_build_model
H	0.960924	0.109	before_prepare_data
I	7.033043	0.107	after_prepare_data
J	7.033377	0.107	before_runner_run
K	13.208711	8.440	after_runner_run
L	13.208836	8.440	monitor_stopping
